movie_id,movie_name,year,certificate,runtime,rating,description,director,actor,votes,gross_usd,genre
tt3678938,Humpty Sharma Ki Dulhania,2014,Not Rated,133,6.0,"A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra, she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.",Shashank Khaitan,"Varun Dhawan, 
Alia Bhatt, 
Ashutosh Rana, 
Sidharth Shukla",13371,380011.0,"Romance, Comedy, Drama"
tt0286179,Sunshine State,2002,PG-13,141,6.8,"A woman and her new husband returns to her hometown roots in coastal northern Florida, and must deal with family, business, and encroaching real estate development.",John Sayles,"Angela Bassett, 
Edie Falco, 
Alex Lewis, 
Alan King",4146,3064356.0,"Romance, Drama"
tt0020641,Anna Christie,1930,Passed,89,6.6,"A young woman reunites with her estranged father and falls in love with a sailor, but struggles to tell them about her dark past.",Clarence Brown,"Greta Garbo, 
Charles Bickford, 
George F. Marion, 
Marie Dressler",3294,1013000.0,"Romance, Drama"
tt2359810,Raanjhanaa,2013,Not Rated,140,7.6,"Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",Aanand L. Rai,"Dhanush, 
Sonam Kapoor, 
Mohd. Zeeshan Ayyub, 
Swara Bhaskar",33283,875051.0,"Romance, Drama"
tt2560102,Lilting,2014,Not Rated,91,7.1,"A young man of Chinese-Cambodian descent dies, leaving behind his isolated mother and his 4-year male lover, who grieve but don't speak a lick of each other's language.",Hong Khaou,"Pei-Pei Cheng, 
Ben Whishaw, 
Andrew Leung, 
Peter Bowles",6407,21068.0,"Romance, Drama"
tt0105063,The Opposite Sex and How to Live with Them,1992,R,86,4.9,"When superficial David meets Carrie in a Boston bar, he falls in love. She's not interested. She later falls for his charm. Friends observe and comment the relationship.",Matthew Meshekoff,"Arye Gross, 
Courteney Cox, 
Kevin Pollak, 
Julie Brown",784,5690966.0,"Romance, Comedy"
tt0086205,Romantic Comedy,1983,PG,103,5.3,"Two of the screen's finest comic actors, Dudley Moore and Mary Steenburgen, star as successful writing partners whose timing is perfect on stage but amusingly pathetic in their love life. In HD.",Arthur Hiller,"Dudley Moore, 
Mary Steenburgen, 
Frances Sternhagen, 
Janet Eilber",943,6857733.0,"Romance, Comedy"
tt0251110,Gypsy 83,2001,R,94,6.8,"Two young misfits head for New York City to celebrate their idol and muse, Stevie Nicks, at The Night of 1,000 Stevies. Along the road, in order for them to escape their painful pasts, they...                See full summary »",Todd Stephens,"Sara Rue, 
Birkett Turton, 
Karen Black, 
John Doe",1725,29367.0,"Romance, Drama"
tt0082001,All Night Long,1981,R,87,5.5,A middle-aged executive's lifestyle and values are turned upside down after he is demoted to chain-store night manager.,Jean-Claude Tramont,"Gene Hackman, 
Barbra Streisand, 
Diane Ladd, 
Dennis Quaid",1902,4454295.0,"Romance, Comedy, Drama"
tt4415016,Twenty,2015,R,115,6.8,"A story about three friends, Chiho, Dongwoo, and Gyungjae. Each of them has just turned 20 years old and they must decide what to do with their life.",Byeong-heon Lee,"Kim Woo-bin, 
Jun-Ho Lee, 
Kang Ha-neul, 
Jung So-Min",2329,136125.0,"Romance, Comedy, Drama"
